City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saskylakh,71.9167,114.0833,-33.32,100,100,0.56,RU,1675819618
84,maumere,-8.6199,122.2111,28.49,73,30,3.3,ID,1675819619
85,kodinsk,58.6881,99.1844,-14.65,97,100,1.25,RU,1675819619
86,fortuna,40.5982,-124.1573,13.29,75,20,0.0,US,1675819619
87,porirua,-41.1333,174.85,23.68,62,0,0.89,NZ,1675819620
88,batemans bay,-35.7167,150.1833,20.61,90,100,1.33,AU,1675819620
89,saldanha,-33.0117,17.9442,17.03,89,0,6.72,ZA,1675819621
90,touros,-5.1989,-35.4608,26.26,71,100,5.59,BR,1675819349
91,kaitangata,-46.2817,169.8464,14.57,54,11,7.13,NZ,1675819622
92,luderitz,-26.6481,15.1594,18.61,83,38,8.53,NA,1675819622
93,visnes,59.3556,5.2242,7.03,87,100,5.14,NO,1675819624
94,los llanos de aridane,28.6585,-17.9182,12.86,63,0,1.54,ES,1675819624
95,port elizabeth,-33.918,25.5701,20.73,91,40,2.57,ZA,1675819503
96,port alfred,-33.5906,26.891,20.66,90,100,1.34,ZA,1675819628
97,coronado,32.6859,-117.1831,18.75,54,20,4.63,US,1675819628
98,manavalakurichi,8.1333,77.3,23.54,72,10,1.95,IN,1675819629
99,merano,46.6682,11.1595,-1.3,77,21,1.58,IT,1675819630
100,westport,41.1415,-73.3579,5.31,81,100,0.89,US,1675819630
101,butaritari,3.0707,172.7902,27.23,80,100,9.71,KI,1675819634
102,kemin,42.7846,75.6892,-2.34,56,95,5.07,KG,1675819647
103,new norfolk,-42.7826,147.0587,17.73,36,4,0.94,AU,1675819597
104,upernavik,72.7868,-56.1549,-29.63,97,60,1.47,GL,1675819657
105,severo-kurilsk,50.6789,156.125,-4.1,54,12,4.38,RU,1675819657
106,qaanaaq,77.484,-69.3632,-31.57,67,7,2.82,GL,1675819658
107,holland,42.7875,-86.1089,3.56,79,100,5.14,US,1675819658
108,sulangan,11.1373,123.7228,26.16,80,100,5.2,PH,1675819658
109,menongue,-14.6585,17.691,16.52,84,100,1.13,AO,1675819669
110,geraldton,-28.7667,114.6,25.23,57,0,5.14,AU,1675819673
111,kavieng,-2.5744,150.7967,27.59,79,100,3.89,PG,1675819674
112,kaa-khem,51.6833,94.7333,-24.85,99,100,0.65,RU,1675819674
113,rence,45.89,13.6686,1.64,55,1,6.71,SI,1675819675
114,son la,21.3167,103.9,18.94,87,67,1.7,VN,1675819675
115,gamba,-2.65,10.0,24.71,83,57,0.8,GA,1675819676
116,francisco sa,-16.4758,-43.4883,25.08,68,19,2.3,BR,1675819677
117,cape town,-33.9258,18.4232,21.23,72,0,6.26,ZA,1675819677
